,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,2,3,0,2,1,5,1,1,1,7,10,1,1,4,1,12,5,1,1,14
1,3,2,4,1,1,3,1,4,2,2,6,2,1,3,5,0,0,7,0,2
2,2,1,13,7,2,5,1,1,2,2,1,6,1,1,0,2,2,7,6,1
3,4,1,0,1,7,0,2,5,16,2,2,1,8,2,1,1,3,3,2,2
4,1,4,2,6,3,2,0,7,9,6,4,8,5,6,10,5,3,14,2,0
5,3,1,0,1,4,0,5,7,5,0,3,0,5,4,5,6,1,1,6,3
6,5,1,0,2,2,1,2,4,1,3,6,2,3,3,0,9,6,5,4,12
7,5,1,6,0,5,2,3,2,3,2,12,5,8,6,13,0,1,5,6,1
8,6,2,1,2,1,1,6,8,5,4,2,2,1,6,5,14,3,2,1,0
9,1,2,2,4,6,1,5,4,7,10,3,11,11,3,3,4,5,0,9,3
10,2,15,6,2,4,34,1,1,4,4,7,1,5,3,0,3,6,3,3,3
11,2,1,2,11,8,1,11,6,3,9,3,3,5,4,1,3,11,1,5,6
12,9,3,0,0,2,0,0,7,3,6,3,1,0,2,2,0,7,2,4,7
13,4,15,11,2,2,6,3,10,2,1,1,8,2,4,7,1,8,2,6,3
14,4,1,0,3,0,2,1,4,3,1,1,2,4,3,1,1,4,1,0,2
15,2,0,0,1,0,0,2,4,0,4,5,2,1,4,2,2,4,11,5,1
16,12,2,3,1,0,3,1,1,4,2,4,10,7,3,3,7,8,8,5,12
17,1,6,6,5,8,3,11,11,4,4,8,0,4,1,5,1,0,4,1,5
18,8,4,1,7,3,4,2,3,1,4,5,3,2,7,21,1,2,5,5,4
19,2,1,0,1,3,2,3,3,2,2,1,4,1,3,2,9,5,0,5,1
20,4,1,0,1,3,2,5,1,3,6,3,6,1,9,3,6,4,4,6,5
21,5,13,15,14,9,10,3,1,6,8,6,7,6,3,1,1,4,1,5,3
22,8,14,23,20,21,7,25,2,7,3,1,7,4,4,1,6,3,3,5,4
23,2,4,4,5,3,3,4,3,4,5,0,1,9,8,4,5,5,8,4,5
24,3,2,1,1,2,3,2,0,3,3,3,7,5,4,4,1,0,2,4,1
