,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,4,0,1,1,0,0,0,0,1,1,2,2,3,1,2,1,2,1,1,0
1,1,2,1,0,1,1,1,2,3,3,1,4,1,0,1,3,2,1,0,2
2,0,0,1,0,3,2,3,1,8,1,0,0,0,6,1,0,3,0,3,1
3,8,1,1,15,8,0,8,8,1,0,0,0,5,2,3,1,4,0,5,4
4,8,1,0,0,0,0,0,2,1,4,0,4,1,3,0,0,5,24,3,1
5,3,1,1,6,2,1,3,7,6,2,2,1,1,1,8,2,1,2,1,2
6,3,1,0,0,1,0,1,1,6,1,0,0,0,1,0,3,1,0,11,10
7,0,1,0,1,0,0,3,1,3,0,0,3,2,2,1,6,14,0,2,3
8,0,3,0,0,3,7,3,0,3,0,1,4,2,3,2,2,0,0,3,0
9,12,1,2,0,0,2,5,4,2,2,1,2,6,2,5,2,1,2,3,4
10,0,1,0,1,0,2,3,24,18,1,1,3,5,10,34,1,13,1,11,2
11,2,2,2,4,0,0,5,3,3,0,0,4,1,3,7,0,4,0,6,1
12,15,3,0,0,3,0,3,1,2,1,0,2,2,1,5,9,2,1,5,17
13,1,3,1,5,8,3,1,1,5,1,2,1,6,2,0,1,0,1,2,1
14,7,0,2,0,1,0,1,2,3,0,0,1,2,4,0,1,4,2,3,3
15,2,2,1,2,3,4,2,10,2,0,0,43,8,1,3,0,4,1,1,1
16,6,0,0,2,4,0,0,0,2,0,0,2,2,3,2,1,5,44,4,1
17,11,4,1,2,1,2,0,1,2,0,1,1,3,4,2,46,5,3,5,30
18,1,1,0,2,2,0,3,3,4,1,0,3,11,7,0,0,3,0,0,0
19,0,0,0,1,0,2,0,5,3,2,5,1,2,1,1,0,6,1,1,0
20,1,0,3,0,0,1,4,6,2,71,78,0,1,2,2,0,2,1,2,3
21,0,8,5,0,1,1,1,2,5,0,1,0,1,0,2,0,0,2,2,0
22,3,0,0,1,0,0,0,1,0,0,0,0,2,3,1,1,4,4,3,1
23,3,1,0,0,0,0,8,1,4,2,1,1,0,13,1,5,2,4,5,1
24,2,1,1,3,2,1,0,7,2,4,1,4,0,0,1,0,5,1,2,3
25,1,1,1,0,4,1,1,1,0,1,0,1,1,2,1,1,2,1,4,0
26,2,5,1,1,2,1,3,2,6,0,0,0,4,10,3,2,4,2,4,7
27,2,56,72,53,48,68,38,2,1,0,0,10,27,3,3,1,1,1,2,0
28,0,0,3,0,3,1,0,2,1,2,2,3,1,6,3,10,0,0,6,2
29,2,1,0,0,0,0,0,0,1,0,1,0,0,4,6,1,1,0,0,0
