,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc
0,1,4,2,4,0,3,2,0,0,1,3,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,1,0,2,0
2,1,1,0,3,0,0,0,1,0,0,2,1,3,0,0,0,1,4,2,0
3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
4,10,27,46,67,67,24,50,13,14,4,3,74,47,25,4,4,8,2,17,8
5,4,0,0,0,0,4,2,2,1,3,1,1,0,4,3,0,3,0,1,1
6,6,1,2,2,4,3,3,6,6,7,2,2,2,4,4,1,0,2,0,1
7,43,4,1,1,4,1,10,39,25,21,3,14,11,21,30,54,62,4,26,60
8,0,0,0,0,1,1,1,1,2,1,2,0,0,3,1,1,1,2,2,2
9,6,4,0,0,1,1,3,5,3,4,3,2,4,4,29,14,3,2,7,2
10,1,2,1,0,0,1,0,0,1,2,1,0,2,3,0,0,0,0,0,1
11,8,2,3,0,2,0,3,10,16,29,3,1,6,6,1,9,5,74,16,4
12,9,45,33,21,19,53,9,12,10,0,4,2,11,12,5,11,9,3,5,7
13,2,1,1,2,0,0,3,0,3,1,2,1,1,0,3,0,1,1,10,6
14,0,1,0,0,0,0,1,1,2,1,2,1,2,1,0,0,0,0,2,0
15,4,0,0,0,1,1,2,1,1,4,0,0,0,2,2,2,1,0,3,3
16,3,5,6,0,0,7,3,6,10,16,60,1,4,10,14,1,4,2,2,2
17,2,2,3,0,0,0,1,0,2,3,7,0,3,0,0,0,1,2,2,1
18,0,1,1,0,1,1,2,0,1,0,2,0,1,2,1,1,0,1,0,2
19,0,0,1,0,0,0,4,2,2,0,0,0,1,2,2,2,0,1,2,0
